,0
0,CDH1
1,DRAXIN
2,SOD2
3,LAMA4
4,MMP1
5,CST6
6,PADI2
7,MOG
8,SULT1A1
9,TNFRSF12A
10,HS6ST1
11,MZB1
12,GYS1
13,CD160
14,PRCP
15,SPON1
16,ANGPTL1
17,INPP1
18,CD84
19,TFF2
20,CLEC1A
21,NPDC1
22,MTPN
23,CA12
24,FOXO1
25,SERPINB6
26,PTPN6
27,SCARA5
28,ATP6AP2
29,IPCEF1
30,RARRES2
31,MITD1
32,CLEC10A
33,BSG
34,SNAP23
35,CD99L2
36,FAS
37,TNFRSF13C
38,CD40
39,SIGLEC10
40,FOLR1
41,VEGFA
42,IGSF8
43,MSLN
44,PDP1
45,CLIP2
46,KLK14
47,ADAM15
48,SCRN1
49,TNFSF13B
50,NTproBNP
51,NPPC
52,FGFBP1
53,SERPINA12
54,MDK
55,MPI
56,C1QA
57,WFDC2
58,FSTL3
59,PTN
60,DKK4
61,TIE1
62,HAVCR1
63,TJAP1
64,REG3A
65,LTBR
66,USP8
67,CHRDL2
68,BAG3
69,NRP1
70,PON2
71,SFRP1
72,TNFRSF9
73,FYB1
74,PTPRN2
75,TNFRSF10B
76,CXCL16
77,ATOX1
78,NECTIN4
79,CCL24
80,TNFSF12
81,IL17D
82,DDR1
83,TMSB10
84,LAT
85,CD163
86,CXADR
87,FLRT2
88,FAM3B
89,AXL
90,PMVK
91,EPHA1
92,MAVS
93,TNFRSF1B
94,CASP8
95,IL2RA
96,CLSTN2
97,GPC1
98,ADAM22
99,CD69
100,TGFB1
101,CDH6
102,MPIG6B
103,PI3
104,ESAM
105,MMP13
106,CALB1
107,CST5
108,YTHDF3
109,SELP
110,JAM2
111,EPHB6
112,CD276
113,PECAM1
114,ITGB6
115,DBI
116,AXIN1
117,HAVCR2
118,EPS8L2
119,CLC
120,DSC2
121,DDX58
122,GUCA2A
123,COL6A3
124,AMFR
125,SPINT2
126,TXLNA
127,ABHD14B
128,SIGLEC7
129,PHOSPHO1
130,LY96
131,METAP1D
132,CCL11
133,IGF1R
134,CST3
135,OGN
136,NCK2
137,TST
138,ABL1
139,CASP2
140,RSPO3
141,LY6D
142,TFPI2
143,CCL14
144,DNMBP
145,ADAMTS15
146,MIA
147,RHOC
148,CD300LF
149,SORT1
150,BCL2L11
151,ENPP5
152,INPPL1
153,EPHA2
154,APP
155,COLEC12
156,SCGB1A1
157,CD59
158,SNCG
159,DLK1
160,CCL3
161,PAPPA
162,CEACAM1
163,PFKFB2
164,CDH3
165,CTSB
166,CXCL8
167,TNFRSF11A
168,CD79B
169,ATP5IF1
170,CCL16
171,EPHA10
172,CD274
173,MATN2
174,IGFBP4
175,KIFBP
176,TNC
177,GAS6
178,NUDT2
179,FLI1
180,ICOSLG
181,NOS1
182,CCL15
183,GP6
184,SCARF2
185,PTH1R
186,CD46
187,IL10RB
188,UXS1
189,CA13
190,SIRPB1
191,FRZB
192,EGF
193,NEFL
194,CD40LG
195,CAPG
196,CLEC14A
197,SMOC2
198,WASF3
199,PPIB
200,MSRA
201,NECTIN2
202,PIK3IP1
203,ITGA11
204,COL1A1
205,CLEC1B
206,FCER2
207,TNFRSF6B
208,ADAMTS8
209,AMIGO2
210,IKBKG
211,LRP11
212,ITGB1BP2
213,CNST
214,NCR1
215,KLRD1
216,FEN1
217,SORCS2
218,IQGAP2
219,P4HB
220,PIGR
221,TNFRSF10A
222,CCL4
223,LDLR
224,BTN2A1
225,TREM2
226,PODXL2
227,TIMP1
228,GDF15
229,CLEC11A
230,EDA2R
231,CD302
232,CPXM1
233,GZMA
234,ESM1
235,TRIM5
236,EFNA4
237,CDCP1
238,F11R
239,SPINT1
240,CXCL17
241,PLAUR
242,CD83
243,FGF23
244,BCR
245,CSTB
246,CD300LG
247,TACSTD2
248,CTSF
249,TFPI
250,APOH
251,SMOC1
252,TNFRSF19
253,HSPB6
254,CCL22
255,PLTP
256,MARCO
257,FGFR2
258,B4GAT1
259,HYOU1
260,MMP3
261,CCL21
262,ADAMTS13
263,REG1A
264,CRTAM
265,GPC5
266,RBP2
267,XCL1
268,SKAP2
269,CD93
270,PCDH17
271,FABP4
272,FGF2
273,CCL20
274,TNFRSF4
275,WWP2
276,CTSS
277,PROC
278,DAB2
279,DECR1
280,TBC1D5
281,NFKBIE
282,NPPB
283,PRL
284,PRKRA
285,DIABLO
286,ACP6
287,NOTCH3
288,EREG
289,CDNF
290,HGF
291,CCL13
292,PRSS8
293,LIF
294,TBCC
295,APLP1
296,CA14
297,IGF2R
298,COL4A1
299,LGALS1
300,IL7R
301,COL18A1
302,ACAA1
303,MESD
304,CPB1
305,FCAR
306,TNFRSF21
307,FOXO3
308,ACTA2
309,FKBP1B
310,IL18
311,NCF2
312,S100P
313,SERPINE1
314,TGFBR3
315,TNF
316,TNFSF11
317,EGFL7
318,REG1B
319,ARHGAP25
320,INHBC
321,FES
322,SLAMF6
323,CCL5
324,ICAM5
325,CPM
326,CD99
327,SCARF1
328,ANPEP
329,SCP2
330,EDIL3
331,FGF5
332,CPA2
333,BANK1
334,VTCN1
335,PPP1R12A
336,ARSB
337,CCN4
338,LAIR1
339,CD27
340,APBB1IP
341,ANGPTL3
342,THY1
343,ULBP2
344,FLT3LG
345,IGFBP6
346,CDHR2
347,CRX
348,MEGF10
349,SCAMP3
350,ARHGEF12
351,CD58
352,TIMP3
353,WFDC12
354,DPT
355,KLK11
356,SIT1
357,CXCL9
358,CHGB
359,CCN1
360,PRDX5
361,IFNL1
362,SCGN
363,GP1BA
364,TBC1D23
365,GRAP2
366,ACP5
367,ANXA3
368,RGMB
369,PTPN1
370,GNLY
371,TAFA5
372,ANXA4
373,ADA2
374,CD38
375,AGRP
376,DCBLD2
377,CD28
378,CD5
379,IFNGR1
380,SPARC
381,SDC1
382,CRHBP
383,BAIAP2
384,XG
385,TNFRSF1A
386,ADAM23
387,CEACAM8
388,NRP2
389,CCN3
390,F2R
391,PPP1R9B
392,CNPY4
393,BID
394,CCL17
395,EPHB4
396,GAL
397,PDLIM7
398,ITGAV
399,IFNG
400,MME
401,DAG1
402,NTRK2
403,RASSF2
404,KLRB1
405,DOK2
406,SPINK4
407,TEK
408,TDGF1
409,RTN4R
410,THBS2
411,GOPC
412,CCL26
413,STX4
414,CLEC5A
415,MZT1
416,TNFRSF14
417,MILR1
418,SPINK1
419,NFASC
420,PLXNB3
421,PLA2G1B
422,TNFRSF8
423,ACE2
424,FAP
425,PTGDS
426,BOC
