"","BMI","Age","Significant.Protein.elevation","Mode"
"1","underweight","20-34yrs",0,"Train"
"2","underweight","20-34yrs",0,"Validation"
"3","normal","20-34yrs",0,"Train"
"4","normal","20-34yrs",0,"Validation"
"5","overweight","20-34yrs",0,"Train"
"6","overweight","20-34yrs",0,"Validation"
"7","obese","20-34yrs",0,"Train"
"8","obese","20-34yrs",0,"Validation"
"9","severely obese","20-34yrs",0,"Train"
"10","severely obese","20-34yrs",0,"Validation"
"11","underweight","35-49yrs",0,"Train"
"12","underweight","35-49yrs",0,"Validation"
"13","normal","35-49yrs",0,"Train"
"14","normal","35-49yrs",0,"Validation"
"15","overweight","35-49yrs",57,"Train"
"16","overweight","35-49yrs",0,"Validation"
"17","obese","35-49yrs",6,"Train"
"18","obese","35-49yrs",0,"Validation"
"19","severely obese","35-49yrs",0,"Train"
"20","severely obese","35-49yrs",0,"Validation"
"21","underweight","50-64yrs",0,"Train"
"22","underweight","50-64yrs",0,"Validation"
"23","normal","50-64yrs",42,"Train"
"24","normal","50-64yrs",0,"Validation"
"25","overweight","50-64yrs",153,"Train"
"26","overweight","50-64yrs",0,"Validation"
"27","obese","50-64yrs",692,"Train"
"28","obese","50-64yrs",0,"Validation"
"29","severely obese","50-64yrs",0,"Train"
"30","severely obese","50-64yrs",0,"Validation"
"31","underweight","65-79yrs",5,"Train"
"32","underweight","65-79yrs",0,"Validation"
"33","normal","65-79yrs",411,"Train"
"34","normal","65-79yrs",0,"Validation"
"35","overweight","65-79yrs",361,"Train"
"36","overweight","65-79yrs",0,"Validation"
"37","obese","65-79yrs",0,"Train"
"38","obese","65-79yrs",0,"Validation"
"39","severely obese","65-79yrs",0,"Train"
"40","severely obese","65-79yrs",0,"Validation"
"41","underweight","80+yrs",11,"Train"
"42","underweight","80+yrs",0,"Validation"
"43","normal","80+yrs",4,"Train"
"44","normal","80+yrs",0,"Validation"
"45","overweight","80+yrs",0,"Train"
"46","overweight","80+yrs",0,"Validation"
"47","obese","80+yrs",0,"Train"
"48","obese","80+yrs",0,"Validation"
"49","severely obese","80+yrs",0,"Train"
"50","severely obese","80+yrs",0,"Validation"
