"","Age","BMI","Significant.Protein.elevation","Mode"
"1","20-34yrs","normal",0,"Train"
"2","20-34yrs","normal",0,"Validation"
"3","20-34yrs","overweight",0,"Train"
"4","20-34yrs","overweight",0,"Validation"
"5","20-34yrs","obese",1,"Train"
"6","20-34yrs","obese",0,"Validation"
"7","20-34yrs","severely obese",11,"Train"
"8","20-34yrs","severely obese",47,"Validation"
"9","35-49yrs","normal",1,"Train"
"10","35-49yrs","normal",0,"Validation"
"11","35-49yrs","overweight",13,"Train"
"12","35-49yrs","overweight",0,"Validation"
"13","35-49yrs","obese",243,"Train"
"14","35-49yrs","obese",1,"Validation"
"15","35-49yrs","severely obese",24,"Train"
"16","35-49yrs","severely obese",0,"Validation"
"17","50-64yrs","normal",8,"Train"
"18","50-64yrs","normal",0,"Validation"
"19","50-64yrs","overweight",306,"Train"
"20","50-64yrs","overweight",1,"Validation"
"21","50-64yrs","obese",194,"Train"
"22","50-64yrs","obese",2,"Validation"
"23","50-64yrs","severely obese",0,"Train"
"24","50-64yrs","severely obese",0,"Validation"
"25","65-79yrs","normal",3,"Train"
"26","65-79yrs","normal",0,"Validation"
"27","65-79yrs","overweight",367,"Train"
"28","65-79yrs","overweight",421,"Validation"
"29","65-79yrs","obese",0,"Train"
"30","65-79yrs","obese",0,"Validation"
"31","65-79yrs","severely obese",0,"Train"
"32","65-79yrs","severely obese",0,"Validation"
"33","80+yrs","normal",0,"Train"
"34","80+yrs","normal",0,"Validation"
"35","80+yrs","overweight",0,"Train"
"36","80+yrs","overweight",0,"Validation"
"37","80+yrs","obese",0,"Train"
"38","80+yrs","obese",0,"Validation"
"39","80+yrs","severely obese",0,"Train"
"40","80+yrs","severely obese",0,"Validation"
