,Model,Proportion,HL,Prec,Rec,F1,Jac
0,MLKNN,60_40,0.0015873015873015,1.0,0.4158730158730159,0.4158730158730159,0.4158730158730159
1,HARAM,60_40,0.0443871533043507,0.7940845125384214,0.445026455026455,0.3325853438778602,0.3321719482834122
2,BR_MultinomialNB,60_40,0.0015873015873015,1.0,0.4158730158730159,0.4158730158730159,0.4158730158730159
3,Label Powerset GradientBooster,60_40,0.0031543827722171,0.9906511617037932,0.4185185185185185,0.4145836021852281,0.4144423169423169
4,ClassifierChain,60_40,0.0031678630404745,0.9968309663046504,0.4174603174603175,0.4158841158841159,0.4158785853522695
5,Label Powerset SVC,60_40,0.0031678630404745,0.995279866332498,0.4174603174603175,0.4143671143671144,0.414327485380117
6,RandomForest,60_40,0.0015873015873015,1.0,0.4158730158730159,0.4158730158730159,0.4158730158730159
7,DecisionTree,60_40,0.0016243723250092,0.9985347985347984,0.4164021164021164,0.4160714285714286,0.4159788359788359
8,SVM,60_40,0.6087318437636909,0.1726382577736827,0.7697354497354497,0.0706628929629008,0.069462762501294
9,BR_kNN,60_40,0.0015873015873015,1.0,0.4158730158730159,0.4158730158730159,0.4158730158730159
10,RakelD,60_40,0.1141374313348835,0.5102542230177658,0.4784391534391534,0.2014244301487683,0.200725931071597
11,Deep,60_40,0.0015873016091063,0.4158730158730159,1.0,0.4158730158730159,0.4158730158730159
0,Deep,60_40,0.0015873016091063619,0.4158730158730159,1.0,0.4158730158730159,0.4158730158730159
