"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: intestine, lymphoid tissue",1,1,"1-Group enriched: intestine, lymphoid tissue","70%-30%","SVM"
"2","Low tissue specificity",6,2,"2-Low tissue specificity","70%-30%","SVM"
"3","Tissue enhanced: adrenal gland, brain, pancreas",1,3,"3-Tissue enhanced: adrenal gland, brain, pancreas","70%-30%","SVM"
"4","Tissue enhanced: bone marrow",1,4,"4-Tissue enhanced: bone marrow","70%-30%","SVM"
"5","Tissue enhanced: bone marrow, lymphoid tissue",1,5,"5-Tissue enhanced: bone marrow, lymphoid tissue","70%-30%","SVM"
"6","Tissue enhanced: brain",1,6,"6-Tissue enhanced: brain","70%-30%","SVM"
"7","Tissue enhanced: cervix",1,7,"7-Tissue enhanced: cervix","70%-30%","SVM"
"8","Tissue enhanced: cervix, gallbladder",1,8,"8-Tissue enhanced: cervix, gallbladder","70%-30%","SVM"
"9","Tissue enhanced: intestine, urinary bladder",1,9,"9-Tissue enhanced: intestine, urinary bladder","70%-30%","SVM"
"10","Tissue enhanced: kidney, liver",1,10,"10-Tissue enhanced: kidney, liver","70%-30%","SVM"
"11","Tissue enhanced: salivary gland",1,11,"11-Tissue enhanced: salivary gland","70%-30%","SVM"
"12","Tissue enriched: brain",1,12,"12-Tissue enriched: brain","70%-30%","SVM"
"13","Tissue enriched: epididymis",1,13,"13-Tissue enriched: epididymis","70%-30%","SVM"
"14","Tissue enriched: pancreas",2,14,"14-Tissue enriched: pancreas","70%-30%","SVM"
