"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Low tissue specificity",10,1,"1-Low tissue specificity","70%-30%","RakelD"
"2","Tissue enhanced: bone marrow",1,2,"2-Tissue enhanced: bone marrow","70%-30%","RakelD"
"3","Tissue enhanced: bone marrow, gallbladder, salivary gland",1,3,"3-Tissue enhanced: bone marrow, gallbladder, salivary gland","70%-30%","RakelD"
"4","Tissue enhanced: bone marrow, lung, lymphoid tissue",1,4,"4-Tissue enhanced: bone marrow, lung, lymphoid tissue","70%-30%","RakelD"
"5","Tissue enhanced: bone marrow, lymphoid tissue",1,5,"5-Tissue enhanced: bone marrow, lymphoid tissue","70%-30%","RakelD"
"6","Tissue enhanced: brain",3,6,"6-Tissue enhanced: brain","70%-30%","RakelD"
"7","Tissue enhanced: brain, parathyroid gland",1,7,"7-Tissue enhanced: brain, parathyroid gland","70%-30%","RakelD"
"8","Tissue enhanced: brain, placenta, salivary gland, thyroid gland",1,8,"8-Tissue enhanced: brain, placenta, salivary gland, thyroid gland","70%-30%","RakelD"
"9","Tissue enhanced: brain, testis",1,9,"9-Tissue enhanced: brain, testis","70%-30%","RakelD"
"10","Tissue enhanced: brain, urinary bladder",1,10,"10-Tissue enhanced: brain, urinary bladder","70%-30%","RakelD"
"11","Tissue enhanced: breast, liver, lymphoid tissue",1,11,"11-Tissue enhanced: breast, liver, lymphoid tissue","70%-30%","RakelD"
"12","Tissue enhanced: endometrium 1",2,12,"12-Tissue enhanced: endometrium 1","70%-30%","RakelD"
"13","Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle",1,13,"13-Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle","70%-30%","RakelD"
"14","Tissue enhanced: esophagus",1,14,"14-Tissue enhanced: esophagus","70%-30%","RakelD"
"15","Tissue enhanced: gallbladder, urinary bladder",1,15,"15-Tissue enhanced: gallbladder, urinary bladder","70%-30%","RakelD"
"16","Tissue enhanced: lung",2,16,"16-Tissue enhanced: lung","70%-30%","RakelD"
"17","Tissue enhanced: lung, lymphoid tissue",1,17,"17-Tissue enhanced: lung, lymphoid tissue","70%-30%","RakelD"
"18","Tissue enhanced: lung, urinary bladder",1,18,"18-Tissue enhanced: lung, urinary bladder","70%-30%","RakelD"
"19","Tissue enhanced: lymphoid tissue",1,19,"19-Tissue enhanced: lymphoid tissue","70%-30%","RakelD"
"20","Tissue enhanced: lymphoid tissue, placenta",1,20,"20-Tissue enhanced: lymphoid tissue, placenta","70%-30%","RakelD"
"21","Tissue enhanced: skin 1",1,21,"21-Tissue enhanced: skin 1","70%-30%","RakelD"
"22","Tissue enriched: adrenal gland",1,22,"22-Tissue enriched: adrenal gland","70%-30%","RakelD"
"23","Tissue enriched: bone marrow",1,23,"23-Tissue enriched: bone marrow","70%-30%","RakelD"
"24","Tissue enriched: brain",1,24,"24-Tissue enriched: brain","70%-30%","RakelD"
"25","Tissue enriched: epididymis",1,25,"25-Tissue enriched: epididymis","70%-30%","RakelD"
"26","Tissue enriched: liver",3,26,"26-Tissue enriched: liver","70%-30%","RakelD"
"27","Tissue enriched: lymphoid tissue",1,27,"27-Tissue enriched: lymphoid tissue","70%-30%","RakelD"
"28","Tissue enriched: placenta",1,28,"28-Tissue enriched: placenta","70%-30%","RakelD"
