"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: breast, pituitary gland, salivary gland, stomach 1",1,1,"1-Group enriched: breast, pituitary gland, salivary gland, stomach 1","60%-40%","HARAM"
"2","Low tissue specificity",7,2,"2-Low tissue specificity","60%-40%","HARAM"
"3","Tissue enhanced: adipose tissue",1,3,"3-Tissue enhanced: adipose tissue","60%-40%","HARAM"
"4","Tissue enhanced: adipose tissue, breast, placenta",1,4,"4-Tissue enhanced: adipose tissue, breast, placenta","60%-40%","HARAM"
"5","Tissue enhanced: adrenal gland, brain, pancreas",1,5,"5-Tissue enhanced: adrenal gland, brain, pancreas","60%-40%","HARAM"
"6","Tissue enhanced: bone marrow, lymphoid tissue",1,6,"6-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","HARAM"
"7","Tissue enhanced: cervix, endometrium 1, smooth muscle",1,7,"7-Tissue enhanced: cervix, endometrium 1, smooth muscle","60%-40%","HARAM"
"8","Tissue enhanced: esophagus",1,8,"8-Tissue enhanced: esophagus","60%-40%","HARAM"
"9","Tissue enhanced: esophagus, vagina",1,9,"9-Tissue enhanced: esophagus, vagina","60%-40%","HARAM"
"10","Tissue enhanced: gallbladder, intestine, kidney",1,10,"10-Tissue enhanced: gallbladder, intestine, kidney","60%-40%","HARAM"
"11","Tissue enhanced: lymphoid tissue",1,11,"11-Tissue enhanced: lymphoid tissue","60%-40%","HARAM"
"12","Tissue enhanced: ovary",1,12,"12-Tissue enhanced: ovary","60%-40%","HARAM"
"13","Tissue enriched: liver",1,13,"13-Tissue enriched: liver","60%-40%","HARAM"
"14","Tissue enriched: lymphoid tissue",2,14,"14-Tissue enriched: lymphoid tissue","60%-40%","HARAM"
"15","Tissue enriched: salivary gland",1,15,"15-Tissue enriched: salivary gland","60%-40%","HARAM"
