,0
0,FUT8
1,CLEC5A
2,POLR2F
3,FRZB
4,IGFBP4
5,CALCOCO1
6,SMOC2
7,TDRKH
8,TNFRSF1A
9,LEFTY2
10,USO1
11,VTCN1
12,CDKN1A
13,ENPP2
14,TNFRSF4
15,MAP4K5
16,CNTNAP2
17,ACE2
18,ADAM15
19,NDRG1
20,EPHB4
21,CLMP
22,ARSB
23,APEX1
24,WASF3
25,SLC39A5
26,SPINK1
27,EPHA2
28,WFDC2
29,MCAM
30,SIRPA
31,PDLIM7
32,TJAP1
33,SNAP23
34,NBL1
35,DAB2
36,CCL23
37,PIGR
38,CD276
39,HSPG2
40,PLAUR
41,ANXA5
42,BIN2
43,ADM
44,PTH1R
45,CRACR2A
46,CCL25
47,TFF2
48,CDON
49,NID2
50,TNFRSF19
51,C1QA
52,HTRA2
53,IGSF8
54,TBCB
55,APBB1IP
56,KIT
57,CDH6
58,MYOC
59,REG3A
60,ERBIN
61,VAMP5
62,FETUB
63,COLEC12
64,CD99
65,SH2B3
66,TNNI3
67,LYN
68,TFPI2
69,APLP1
70,STX6
71,SFTPD
72,CCL18
73,SPINT2
74,TREML2
75,PADI2
76,NECTIN2
77,RGMB
78,ANXA11
79,SMAD5
80,CCN2
81,CEP20
82,FEN1
83,HGF
84,FCN2
85,CD244
86,IL6R
87,SCARB2
88,ACTA2
89,PTPRM
90,IPCEF1
91,SLC39A14
92,KLK11
93,PDGFA
94,FUS
95,ATP5IF1
96,VSIG4
97,FCRL3
98,IGF2R
99,HS6ST1
100,CDH5
101,THY1
102,LTBP3
103,MSR1
104,CLC
105,VASN
106,TNFSF11
107,JCHAIN
108,ADAM23
109,EBAG9
110,EFNA4
111,SIT1
112,CCN4
113,HYAL1
114,AGRP
115,NADK
116,PADI4
117,CDHR2
118,DAPP1
119,RELT
120,STX8
121,ROBO2
122,CA14
123,BSG
124,NCK2
125,CD164
126,DOK2
127,CD5
128,TNFRSF14
129,PTS
130,NTproBNP
131,COMP
132,LCN2
133,SESTD1
134,CD160
135,GP2
136,CD274
137,PDGFRA
138,GFRA3
139,GGT1
140,RSPO3
141,MPI
142,DKK1
143,ADGRG2
144,RNF41
145,CLEC14A
146,GUCA2A
147,SOST
148,MMP10
149,FABP5
150,CXCL16
151,FAP
152,CNST
153,FLT3LG
154,L1CAM
155,TXNDC5
156,FES
157,MGLL
158,IDI2
159,FCRL5
160,PTPRS
161,WASF1
162,TSPAN1
163,PDGFB
164,SORT1
165,MAVS
166,CXCL9
167,MOG
168,FOXO1
169,TNFRSF11A
170,SDC4
171,FCER2
172,MMP1
173,BCR
174,FLRT2
175,PDCD1
176,GYS1
177,CCL15
178,TGFB1
179,LDLR
180,IL2RA
181,TACC3
182,KIFBP
183,TNFRSF10C
184,TGFA
185,ITGA6
186,IL15RA
187,DPP4
188,ANGPTL1
189,REG1B
190,TBC1D23
191,MZT1
192,TNFRSF1B
193,HAVCR2
194,ITGB6
195,MEGF10
196,SERPINB6
197,IGFBPL1
198,IL10RB
199,CST3
200,ITGB1BP2
201,PLAU
202,SCAMP3
203,NCS1
204,RAB37
205,TNFRSF12A
206,IL4R
207,PPP1R9B
208,ENAH
209,AMIGO2
210,OGN
211,AGRN
212,ICOSLG
213,CD300C
214,IQGAP2
215,ARHGEF12
216,GP6
217,SPON2
218,CXCL10
219,GZMB
220,RGMA
221,MGMT
222,ESAM
223,MMP7
224,CD69
225,ACP5
226,NCR1
227,CA13
228,TIE1
229,CD300LG
230,MITD1
231,TNFRSF9
232,DNMBP
233,TYRO3
234,TREM2
235,CA5A
236,HMOX2
237,TNC
238,EDAR
239,ITGAV
240,IGFBP2
241,TNF
242,TARBP2
243,GAL
244,INPPL1
245,CCL11
246,PLXNB3
247,PGF
248,TIA1
249,LRP1
250,SOD2
251,UXS1
252,CCL22
253,DBI
254,DLK1
255,USP8
256,FGF23
257,CCL4
258,SLIT2
259,RSPO1
260,TRIM5
261,CD177
262,PLXNA4
263,DPP10
264,CLEC10A
265,ACAA1
266,MAGED1
267,CPA2
268,PPIB
269,PVALB
270,NEFL
271,IGFBP7
272,LY6D
273,P4HB
274,F11R
275,SELP
276,PRSS8
277,CCL16
278,LY96
279,MB
280,GLT8D2
281,CCL13
282,CRHBP
283,RHOC
284,ENPP5
285,CCDC80
286,EIF4G1
287,DNAJA2
288,LTBR
289,ICAM5
290,STX4
291,PIK3AP1
292,AIFM1
293,ADAM22
294,ENG
295,EDA2R
296,EGF
297,DBNL
298,CTSS
299,CDCP1
300,PTPN6
301,MESD
302,BOC
303,AXIN1
304,MANF
305,CPB1
306,BGN
307,TNFRSF10B
308,IFNG
309,CPM
310,ITGA11
311,BCL2L11
312,CA12
313,PHOSPHO1
314,DDC
315,CD83
316,LGALS1
317,CLEC11A
318,SULT1A1
319,SNCG
320,PRSS2
321,DEFA1_DEFA1B
322,GNLY
323,CD163
324,TNFSF13B
325,TNFRSF6B
326,CD46
327,JAM2
328,DNER
329,STXBP3
330,MFAP5
331,SULT2A1
332,TNFRSF10A
333,LAIR1
334,COL6A3
335,MFAP3
336,TIMP3
337,ISLR2
338,NCAM1
339,KRT18
340,TST
341,SORCS2
342,GDF15
343,CNPY4
344,AMBP
345,GOPC
