,0
0,TNFRSF4
1,TNFRSF10C
2,SMOC1
3,BSG
4,CCL16
5,CXCL13
6,THBD
7,PDGFA
8,DPP10
9,COL1A1
10,HPGDS
11,NRP1
12,KLRD1
13,FLRT2
14,CD46
15,IGFBPL1
16,EGF
17,PRDX1
18,SIT1
19,JAM2
20,DSG3
21,AGXT
22,CTSB
23,ESM1
24,RARRES2
25,SLC39A14
26,FCRL5
27,PTK7
28,WFDC2
29,NT5E
30,CCL15
31,GALNT2
32,CD40LG
33,FAP
34,ROBO2
35,TNFRSF11B
36,KITLG
37,PAMR1
38,CCL11
39,MYOC
40,CCL8
41,CRX
42,PTPRN2
43,ACTA2
44,PPP1R12A
45,CTSL
46,TFF1
47,PCDH1
48,SORCS2
49,TDRKH
50,VEGFA
51,IL12RB1
52,PODXL2
53,C1QA
54,LDLR
55,GPNMB
56,LGMN
57,VSIR
58,GZMB
59,ADAMTS8
60,CD55
61,MIA
62,ARSB
63,TNFRSF6B
64,TNFRSF1B
65,SEMA4D
66,IGSF8
67,LPL
68,NTproBNP
69,ADAMTS15
70,CLC
71,SPINK1
72,GPR37
73,INPP1
74,CD79B
75,ANXA11
76,SPON1
77,TNFSF12
78,FGF23
79,CCN2
80,MESD
81,CXCL1
82,PIGR
83,NPPB
84,SIRPA
85,CLEC11A
86,CLPS
87,ADAM15
88,SCG2
89,TGFB1
90,ADAM23
91,REG1A
92,VTCN1
93,SCARB2
94,HCLS1
95,AXL
96,HSPG2
97,CD300C
98,CA13
99,CR2
100,PHOSPHO1
101,FABP1
102,TRIAP1
103,CD27
104,TNC
105,CA5A
106,CD40
107,COL18A1
108,TNFRSF13C
109,LTBP3
110,NPDC1
111,CEACAM8
112,CFC1
113,PFKFB2
114,PTPRM
115,CCL3
116,AIFM1
117,MPIG6B
118,FGF5
119,CST6
120,CD164
121,CST7
122,PRCP
123,VCAN
124,FABP5
125,PLAUR
126,CXCL17
127,GP1BA
128,PTH1R
129,REG3A
130,TFPI2
