"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: adrenal gland, pituitary gland",1,1,"1-Group enriched: adrenal gland, pituitary gland","60%-40%","RakelD"
"2","Group enriched: bone marrow, lung, lymphoid tissue",1,2,"2-Group enriched: bone marrow, lung, lymphoid tissue","60%-40%","RakelD"
"3","Group enriched: brain, skeletal muscle",1,3,"3-Group enriched: brain, skeletal muscle","60%-40%","RakelD"
"4","Group enriched: intestine, pancreas",1,4,"4-Group enriched: intestine, pancreas","60%-40%","RakelD"
"5","Group enriched: lymphoid tissue, placenta",1,5,"5-Group enriched: lymphoid tissue, placenta","60%-40%","RakelD"
"6","Low tissue specificity",17,6,"6-Low tissue specificity","60%-40%","RakelD"
"7","Tissue enhanced: adipose tissue",1,7,"7-Tissue enhanced: adipose tissue","60%-40%","RakelD"
"8","Tissue enhanced: adipose tissue, cervix",1,8,"8-Tissue enhanced: adipose tissue, cervix","60%-40%","RakelD"
"9","Tissue enhanced: adrenal gland, brain, choroid plexus",1,9,"9-Tissue enhanced: adrenal gland, brain, choroid plexus","60%-40%","RakelD"
"10","Tissue enhanced: bone marrow, lymphoid tissue",1,10,"10-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","RakelD"
"11","Tissue enhanced: brain, lung, lymphoid tissue",1,11,"11-Tissue enhanced: brain, lung, lymphoid tissue","60%-40%","RakelD"
"12","Tissue enhanced: brain, ovary",1,12,"12-Tissue enhanced: brain, ovary","60%-40%","RakelD"
"13","Tissue enhanced: brain, parathyroid gland",1,13,"13-Tissue enhanced: brain, parathyroid gland","60%-40%","RakelD"
"14","Tissue enhanced: brain, retina",1,14,"14-Tissue enhanced: brain, retina","60%-40%","RakelD"
"15","Tissue enhanced: brain, seminal vesicle",1,15,"15-Tissue enhanced: brain, seminal vesicle","60%-40%","RakelD"
"16","Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle",1,16,"16-Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle","60%-40%","RakelD"
"17","Tissue enhanced: esophagus, skin 1",1,17,"17-Tissue enhanced: esophagus, skin 1","60%-40%","RakelD"
"18","Tissue enhanced: heart muscle",1,18,"18-Tissue enhanced: heart muscle","60%-40%","RakelD"
"19","Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder",1,19,"19-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","60%-40%","RakelD"
"20","Tissue enhanced: intestine, urinary bladder",1,20,"20-Tissue enhanced: intestine, urinary bladder","60%-40%","RakelD"
"21","Tissue enhanced: kidney",1,21,"21-Tissue enhanced: kidney","60%-40%","RakelD"
"22","Tissue enhanced: kidney, thyroid gland",1,22,"22-Tissue enhanced: kidney, thyroid gland","60%-40%","RakelD"
"23","Tissue enhanced: liver",1,23,"23-Tissue enhanced: liver","60%-40%","RakelD"
"24","Tissue enhanced: lung, lymphoid tissue",1,24,"24-Tissue enhanced: lung, lymphoid tissue","60%-40%","RakelD"
"25","Tissue enhanced: lymphoid tissue",2,25,"25-Tissue enhanced: lymphoid tissue","60%-40%","RakelD"
"26","Tissue enhanced: placenta",3,26,"26-Tissue enhanced: placenta","60%-40%","RakelD"
"27","Tissue enhanced: retina, thyroid gland",1,27,"27-Tissue enhanced: retina, thyroid gland","60%-40%","RakelD"
"28","Tissue enhanced: salivary gland",1,28,"28-Tissue enhanced: salivary gland","60%-40%","RakelD"
"29","Tissue enhanced: skeletal muscle",1,29,"29-Tissue enhanced: skeletal muscle","60%-40%","RakelD"
"30","Tissue enhanced: skeletal muscle, tongue",1,30,"30-Tissue enhanced: skeletal muscle, tongue","60%-40%","RakelD"
"31","Tissue enhanced: smooth muscle, urinary bladder",1,31,"31-Tissue enhanced: smooth muscle, urinary bladder","60%-40%","RakelD"
"32","Tissue enhanced: urinary bladder",1,32,"32-Tissue enhanced: urinary bladder","60%-40%","RakelD"
"33","Tissue enriched: brain",2,33,"33-Tissue enriched: brain","60%-40%","RakelD"
"34","Tissue enriched: endometrium 1",1,34,"34-Tissue enriched: endometrium 1","60%-40%","RakelD"
"35","Tissue enriched: intestine",1,35,"35-Tissue enriched: intestine","60%-40%","RakelD"
"36","Tissue enriched: lymphoid tissue",2,36,"36-Tissue enriched: lymphoid tissue","60%-40%","RakelD"
"37","Tissue enriched: pancreas",1,37,"37-Tissue enriched: pancreas","60%-40%","RakelD"
"38","Tissue enriched: parathyroid gland",1,38,"38-Tissue enriched: parathyroid gland","60%-40%","RakelD"
"39","Tissue enriched: retina",1,39,"39-Tissue enriched: retina","60%-40%","RakelD"
