"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Low tissue specificity",14,1,"1-Low tissue specificity","70%-30%","SVM"
"2","Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder",1,2,"2-Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder","70%-30%","SVM"
"3","Tissue enhanced: bone marrow, lung, lymphoid tissue",1,3,"3-Tissue enhanced: bone marrow, lung, lymphoid tissue","70%-30%","SVM"
"4","Tissue enhanced: brain",2,4,"4-Tissue enhanced: brain","70%-30%","SVM"
"5","Tissue enhanced: brain, choroid plexus",1,5,"5-Tissue enhanced: brain, choroid plexus","70%-30%","SVM"
"6","Tissue enhanced: esophagus",1,6,"6-Tissue enhanced: esophagus","70%-30%","SVM"
"7","Tissue enhanced: lung, urinary bladder",1,7,"7-Tissue enhanced: lung, urinary bladder","70%-30%","SVM"
"8","Tissue enhanced: lymphoid tissue",3,8,"8-Tissue enhanced: lymphoid tissue","70%-30%","SVM"
"9","Tissue enhanced: parathyroid gland",1,9,"9-Tissue enhanced: parathyroid gland","70%-30%","SVM"
"10","Tissue enhanced: placenta",1,10,"10-Tissue enhanced: placenta","70%-30%","SVM"
"11","Tissue enhanced: skeletal muscle",1,11,"11-Tissue enhanced: skeletal muscle","70%-30%","SVM"
"12","Tissue enriched: brain",2,12,"12-Tissue enriched: brain","70%-30%","SVM"
"13","Tissue enriched: liver",3,13,"13-Tissue enriched: liver","70%-30%","SVM"
"14","Tissue enriched: lymphoid tissue",1,14,"14-Tissue enriched: lymphoid tissue","70%-30%","SVM"
"15","Tissue enriched: salivary gland",1,15,"15-Tissue enriched: salivary gland","70%-30%","SVM"
"16","Tissue enriched: stomach 1",1,16,"16-Tissue enriched: stomach 1","70%-30%","SVM"
